user_id,workout_type,intensity,duration_min,calories_burned,age,goal,equipment
1,Bodyweight Squat,low,63,4.62,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,34,2.49,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,88,6.45,40,rehabilitation,kettlebells
1,Plank,very_low,34,1.36,40,rehabilitation,kettlebells
1,Plank,low,81,4.32,40,rehabilitation,kettlebells
1,Plank,moderate,73,4.87,40,rehabilitation,kettlebells
1,Plank,very_low,38,1.52,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,36,2.64,40,rehabilitation,kettlebells
1,Bodyweight Squat,moderate,82,7.52,40,rehabilitation,kettlebells
1,Plank,very_low,115,4.6,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,87,6.38,40,rehabilitation,kettlebells
1,Plank,high,54,4.32,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,57,4.18,40,rehabilitation,kettlebells
1,Plank,low,36,1.92,40,rehabilitation,kettlebells
1,Plank,low,37,1.97,40,rehabilitation,kettlebells
1,Plank,low,88,4.69,40,rehabilitation,kettlebells
1,Bodyweight Squat,very_low,48,2.64,40,rehabilitation,kettlebells
1,Plank,moderate,54,3.6,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,88,6.45,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,53,3.89,40,rehabilitation,kettlebells
1,Plank,very_low,119,4.76,40,rehabilitation,kettlebells
1,Plank,low,36,1.92,40,rehabilitation,kettlebells
1,Plank,very_low,71,2.84,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,118,8.65,40,rehabilitation,kettlebells
1,Plank,low,39,2.08,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,104,7.63,40,rehabilitation,kettlebells
1,Plank,low,55,2.93,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,58,4.25,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,87,6.38,40,rehabilitation,kettlebells
1,Plank,very_low,61,2.44,40,rehabilitation,kettlebells
1,Bodyweight Squat,moderate,64,5.87,40,rehabilitation,kettlebells
1,Plank,low,56,2.99,40,rehabilitation,kettlebells
1,Bodyweight Squat,high,50,5.5,40,rehabilitation,kettlebells
1,Plank,low,74,3.95,40,rehabilitation,kettlebells
1,Plank,moderate,38,2.53,40,rehabilitation,kettlebells
1,Plank,moderate,43,2.87,40,rehabilitation,kettlebells
1,Plank,moderate,54,3.6,40,rehabilitation,kettlebells
1,Plank,low,50,2.67,40,rehabilitation,kettlebells
1,Bodyweight Squat,very_low,79,4.34,40,rehabilitation,kettlebells
1,Plank,moderate,56,3.73,40,rehabilitation,kettlebells
1,Bodyweight Squat,moderate,73,6.69,40,rehabilitation,kettlebells
1,Bodyweight Squat,high,74,8.14,40,rehabilitation,kettlebells
1,Bodyweight Squat,very_low,43,2.37,40,rehabilitation,kettlebells
1,Plank,high,99,7.92,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,51,3.74,40,rehabilitation,kettlebells
1,Plank,low,113,6.03,40,rehabilitation,kettlebells
1,Bodyweight Squat,very_low,34,1.87,40,rehabilitation,kettlebells
1,Plank,moderate,56,3.73,40,rehabilitation,kettlebells
1,Bodyweight Squat,low,35,2.57,40,rehabilitation,kettlebells
1,Bodyweight Squat,moderate,98,8.98,40,rehabilitation,kettlebells
2,Plank,very_low,53,2.12,36,rehabilitation,barbell
2,Plank,low,46,2.45,36,rehabilitation,barbell
2,Bodyweight Squat,moderate,93,8.53,36,rehabilitation,barbell
2,Plank,low,79,4.21,36,rehabilitation,barbell
2,Bodyweight Squat,moderate,102,9.35,36,rehabilitation,barbell
2,Bodyweight Squat,high,110,12.1,36,rehabilitation,barbell
2,Bodyweight Squat,moderate,55,5.04,36,rehabilitation,barbell
2,Bodyweight Squat,moderate,83,7.61,36,rehabilitation,barbell
2,Plank,low,83,4.43,36,rehabilitation,barbell
2,Bodyweight Squat,moderate,70,6.42,36,rehabilitation,barbell
2,Plank,low,77,4.11,36,rehabilitation,barbell
2,Bodyweight Squat,very_low,39,2.15,36,rehabilitation,barbell
2,Plank,very_low,81,3.24,36,rehabilitation,barbell
2,Bodyweight Squat,low,85,6.23,36,rehabilitation,barbell
